RANK,SCHOOL,CONFERENCE,SCORE,;
1,North Carolina,ACC,6.50,;
2,Louisville,ACC,8.81,;
3,Villanova,Big East,9.13,;
4,Kansas,Big 12,9.38,;
5,Virginia,ACC,10.44,;
6,Duke,ACC,10.69,;
7,Baylor,Big 12,11.94,;
8,West Virginia,Big 12,12.25,;
9,Kentucky,SEC,12.44,;
10,Florida,SEC,12.63,;
11,Iowa St,Big 12,14.75,;
12,Purdue,Big Ten,23.00,;
13,Notre Dame,ACC,23.69,;
14,Florida St,ACC,24.00,;
15,Oklahoma St,Big 12,24.31,;
16,Wisconsin,Big Ten,24.56,;
17,Butler,Big East,25.31,;
18,Michigan,Big Ten,25.56,;
19,Oregon,Pac 12,27.44,;
20,Kansas St,Big 12,29.50,;
21,Arizona,Pac 12,30.25,;
22,Miami-Florida,ACC,31.50,;
23,Creighton,Big East,31.63,;
24,Gonzaga,West Coast,33.38,;
25,Xavier,Big East,33.69,;
26,SMU,American,35.13,;
27,Clemson,ACC,35.44,;
28,UCLA,Pac 12,35.44,;
29,Michigan St,Big Ten,35.69,;
30,Vanderbilt,SEC,35.69,;
31,TCU,Big 12,36.31,;
32,Wake Forest,ACC,36.75,;
33,Cincinnati,American,37.75,;
34,Marquette,Big East,38.13,;
35,Minnesota,Big Ten,38.44,;
36,Indiana,Big Ten,39.75,;
37,Wichita St,Missouri Valley,40.94,;
38,South Carolina,SEC,41.00,;
39,Northwestern,Big Ten,42.81,;
40,Arkansas,SEC,44.25,;
41,Maryland,Big Ten,45.63,;
42,Seton Hall,Big East,45.81,;
43,Virginia Tech,ACC,47.38,;
44,Syracuse,ACC,47.44,;
45,Georgia,SEC,48.06,;
46,Texas Tech,Big 12,48.38,;
47,Oklahoma,Big 12,50.44,;
48,Saint Mary's,West Coast,51.31,;
49,Dayton,Atlantic 10,51.94,;
50,Rhode Island,Atlantic 10,54.25,;
51,Tennessee,SEC,54.63,;
52,Utah,Pac 12,55.94,;
53,Providence,Big East,56.00,;
54,Georgetown,Big East,56.56,;
55,Texas,Big 12,56.81,;
56,Alabama,SEC,59.25,;
57,VCU,Atlantic 10,59.63,;
58,Pittsburgh,ACC,60.75,;
59,Illinois,Big Ten,62.81,;
60,Houston,American,63.13,;
61,California,Pac 12,63.19,;
62,Texas A&M,SEC,63.56,;
63,Iowa,Big Ten,64.06,;
64,Southern California,Pac 12,64.31,;
65,Ohio St,Big Ten,64.56,;
66,Illinois St,Missouri Valley,70.94,;
67,Colorado,Pac 12,71.69,;
68,Mississippi,SEC,72.44,;
69,Nevada,MWC,74.19,;
70,Penn St,Big Ten,75.88,;
71,Georgia Tech,ACC,76.94,;
72,Auburn,SEC,78.19,;
73,St John's,Big East,79.00,;
74,Central Florida,American,81.94,;
75,Nebraska,Big Ten,82.63,;
76,Connecticut,American,84.06,;
77,Stanford,Pac 12,84.06,;
78,Davidson,Atlantic 10,84.19,;
79,Middle Tennessee,CUSA,85.75,;
80,NC St,ACC,86.31,;
81,NC Wilmington,Colonial,87.38,;
82,BYU,West Coast,89.00,;
83,Mississippi St,SEC,89.06,;
84,San Diego St,MWC,91.63,;
85,Colorado St,MWC,92.13,;
86,Richmond,Atlantic 10,93.19,;
87,Princeton,Ivy,93.25,;
88,Memphis,American,97.38,;
89,Texas-Arlington,Sun Belt,98.06,;
90,Boise St,MWC,98.38,;
91,St Bonaventure,Atlantic 10,101.06,;
92,East Tennessee St,Southern,102.44,;
93,Fresno St,MWC,103.50,;
94,Temple,American,106.81,;
95,College of Charleston,Colonial,107.94,;
96,Rutgers,Big Ten,110.25,;
97,Arizona St,Pac 12,110.31,;
98,New Mexico,MWC,114.06,;
99,Loyola-Chicago,Missouri Valley,114.44,;
100,George Mason,Atlantic 10,115.69,;
101,George Washington,Atlantic 10,116.25,;
102,Monmouth-NJ,MAAC,117.56,;
103,Vermont,America East,118.38,;
104,Tulsa,American,121.00,;
105,San Francisco,West Coast,122.50,;
106,Belmont,Ohio Valley,123.00,;
107,Akron,MAC,124.50,;
108,Utah St,MWC,124.50,;
109,Towson,Colonial,125.25,;
110,La Salle,Atlantic 10,125.75,;
111,Santa Clara,West Coast,126.50,;
112,Valparaiso,Horizon,127.19,;
113,Boston College,ACC,127.56,;
114,Washington,Pac 12,128.56,;
115,Bucknell,Patriot,128.63,;
116,Ohio,MAC,130.31,;
117,Harvard,Ivy,132.19,;
118,Buffalo,MAC,132.38,;
119,LSU,SEC,134.44,;
120,Missouri,SEC,134.63,;
121,Missouri St,Missouri Valley,134.81,;
122,Northern Iowa,Missouri Valley,134.94,;
123,Furman,Southern,135.88,;
124,Chattanooga,Southern,138.44,;
125,Georgia St,Sun Belt,138.44,;
126,William & Mary,Colonial,138.69,;
127,New Mexico St,WAC,139.13,;
128,Massachusetts,Atlantic 10,139.56,;
129,Toledo,MAC,140.75,;
130,Southern Illinois,Missouri Valley,141.19,;
131,Old Dominion,CUSA,141.63,;
132,Wyoming,MWC,141.88,;
133,Louisiana Tech,CUSA,143.63,;
134,Elon,Colonial,144.63,;
135,Arkansas St,Sun Belt,145.06,;
136,Iona,MAAC,145.38,;
137,DePaul,Big East,146.00,;
138,Eastern Michigan,MAC,146.69,;
139,Oakland,Horizon,147.50,;
140,Evansville,Missouri Valley,147.63,;
141,Saint Joseph's-Pa.,Atlantic 10,147.88,;
142,CS Bakersfield,WAC,149.56,;
143,Lehigh,Patriot,149.56,;
144,Wofford,Southern,150.13,;
145,NC Greensboro,Southern,151.13,;
146,Northeastern,Colonial,151.56,;
147,Washington St,Pac 12,152.06,;
